seq,time,bid_price,bid_size,ask_price,ask_size
287,2025-09-13 12:34:48,115715.99,9.16036,115716.0,2.56293
288,2025-09-13 12:34:48,115715.99,9.4246,115716.0,2.56293
289,2025-09-13 12:34:48,115715.99,9.94295,115716.0,2.56293
290,2025-09-13 12:34:48,115715.99,9.9429,115716.0,2.56293
291,2025-09-13 12:34:48,115715.99,9.94285,115716.0,2.56293
292,2025-09-13 12:34:48,115715.99,9.94285,115716.0,2.56298
293,2025-09-13 12:34:48,115715.99,9.93729,115716.0,2.56298
294,2025-09-13 12:34:48,115715.99,9.93729,115716.0,2.56304
295,2025-09-13 12:34:49,115715.99,9.91932,115716.0,2.56304
296,2025-09-13 12:34:49,115715.99,9.91932,115716.0,2.56204
297,2025-09-13 12:34:49,115715.99,9.40097,115716.0,2.56204
298,2025-09-13 12:34:49,115715.99,9.91932,115716.0,2.56204
299,2025-09-13 12:34:49,115715.99,9.88854,115716.0,2.56204
300,2025-09-13 12:34:49,115715.99,9.88509,115716.0,2.56204
301,2025-09-13 12:34:49,115715.99,9.88164,115716.0,2.56204
302,2025-09-13 12:34:49,115715.99,9.88164,115716.0,2.5535
303,2025-09-13 12:34:49,115715.99,9.36329,115716.0,2.5535
304,2025-09-13 12:34:49,115715.99,9.88164,115716.0,2.5535
305,2025-09-13 12:34:49,115715.99,9.36329,115716.0,2.5535
306,2025-09-13 12:34:49,115715.99,9.36674,115716.0,2.5535
307,2025-09-13 12:34:49,115715.99,9.37019,115716.0,2.5535
308,2025-09-13 12:34:49,115715.99,9.40097,115716.0,2.5535
309,2025-09-13 12:34:49,115715.99,9.40102,115716.0,2.5535
310,2025-09-13 12:34:49,115715.99,9.40089,115716.0,2.5535
311,2025-09-13 12:34:49,115715.99,9.40104,115716.0,2.5535
312,2025-09-13 12:34:49,115715.99,9.39628,115716.0,2.5535
313,2025-09-13 12:34:50,115715.99,9.40364,115716.0,2.5535
314,2025-09-13 12:34:50,115715.99,9.40364,115716.0,2.49333
315,2025-09-13 12:34:50,115715.99,9.40364,115716.0,2.4912
316,2025-09-13 12:34:50,115715.99,9.40364,115716.0,2.49332
317,2025-09-13 12:34:50,115715.99,9.40141,115716.0,2.49332
318,2025-09-13 12:34:51,115715.99,9.39969,115716.0,2.49332
319,2025-09-13 12:34:51,115715.99,9.40969,115716.0,2.49332
320,2025-09-13 12:34:51,115715.99,9.40969,115716.0,2.50451
321,2025-09-13 12:34:51,115715.99,9.37891,115716.0,2.50451
322,2025-09-13 12:34:51,115715.99,9.11467,115716.0,2.50451
323,2025-09-13 12:34:51,115715.99,9.11467,115716.0,2.55451
324,2025-09-13 12:34:51,115715.99,9.11467,115716.0,2.74161
325,2025-09-13 12:34:51,115715.99,9.11122,115716.0,2.74161
326,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.74161
327,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.94161
328,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.94145
329,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.93591
330,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.93596
331,2025-09-13 12:34:51,115715.99,9.10777,115716.0,2.93601
332,2025-09-13 12:34:51,115715.99,9.10782,115716.0,2.93601
333,2025-09-13 12:34:51,115715.99,9.10782,115716.0,2.93606
334,2025-09-13 12:34:51,115715.99,9.10782,115716.0,2.93611
335,2025-09-13 12:34:51,115715.99,9.11127,115716.0,2.93611
336,2025-09-13 12:34:51,115715.99,9.11472,115716.0,2.93611
337,2025-09-13 12:34:51,115715.99,9.1455,115716.0,2.93611
338,2025-09-13 12:34:51,115715.99,9.1455,115716.0,2.93606
339,2025-09-13 12:34:51,115715.99,9.1455,115716.0,2.93601
340,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.89253
341,2025-09-13 12:34:52,115715.99,9.14545,115716.0,2.89253
342,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.89253
343,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.88993
344,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.83993
345,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.83988
346,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.83555
347,2025-09-13 12:34:52,115715.99,9.1455,115716.0,2.83543
348,2025-09-13 12:34:52,115715.99,9.14545,115716.0,2.83543
349,2025-09-13 12:34:52,115715.99,9.14545,115716.0,2.83538
350,2025-09-13 12:34:52,115715.99,9.14545,115716.0,2.83533
351,2025-09-13 12:34:52,115715.99,9.14545,115716.0,2.83525
352,2025-09-13 12:34:52,115715.99,9.11467,115716.0,2.83525
353,2025-09-13 12:34:52,115715.99,9.11122,115716.0,2.83525
354,2025-09-13 12:34:52,115715.99,9.10777,115716.0,2.83525
355,2025-09-13 12:34:53,115715.99,9.10777,115716.0,3.21775
356,2025-09-13 12:34:53,115715.99,9.10777,115716.0,3.26775
357,2025-09-13 12:34:53,115715.99,9.13855,115716.0,3.26775
358,2025-09-13 12:34:53,115715.99,9.13855,115716.0,3.2678
359,2025-09-13 12:34:53,115715.99,9.13855,115716.0,3.26775
360,2025-09-13 12:34:53,115715.99,9.13855,115716.0,3.2678
361,2025-09-13 12:34:53,115715.99,9.142,115716.0,3.2678
362,2025-09-13 12:34:53,115715.99,9.14545,115716.0,3.2678
363,2025-09-13 12:34:53,115715.99,9.1454,115716.0,3.2678
364,2025-09-13 12:34:53,115715.99,9.14545,115716.0,3.2678
365,2025-09-13 12:34:53,115715.99,9.14545,115716.0,3.12406
366,2025-09-13 12:34:53,115715.99,9.14545,115716.0,3.07406
367,2025-09-13 12:34:53,115715.99,9.14545,115716.0,2.69156
368,2025-09-13 12:34:53,115715.99,9.1454,115716.0,2.69156
369,2025-09-13 12:34:53,115715.99,9.14545,115716.0,2.69156
370,2025-09-13 12:34:53,115715.99,9.14513,115716.0,2.69156
371,2025-09-13 12:34:53,115715.99,9.14544,115716.0,2.69156
372,2025-09-13 12:34:54,115715.99,9.14544,115716.0,2.6915
373,2025-09-13 12:34:54,115715.99,9.14535,115716.0,2.6915
374,2025-09-13 12:34:54,115715.99,9.14535,115716.0,2.69145
375,2025-09-13 12:34:54,115715.99,9.1454,115716.0,2.69145
376,2025-09-13 12:34:54,115715.99,9.1454,115716.0,2.69109
377,2025-09-13 12:34:54,115715.99,9.14535,115716.0,2.69109
378,2025-09-13 12:34:54,115715.99,9.14535,115716.0,2.68976
379,2025-09-13 12:34:55,115715.99,9.14535,115716.0,2.68981
380,2025-09-13 12:34:55,115715.99,9.1453,115716.0,2.68981
381,2025-09-13 12:34:55,115715.99,9.14535,115716.0,2.68981
